timestamp,left_angle,right_angle,left_velocity,right_velocity,phase_left,phase_right,assist_left,assist_right,motion_detected,assist_enabled
2025-12-07 16:46:13.677,0.000192,-0.000192,-0.039826,0.017853,0.000000,3.141593,0.000000,0.000000,False,False
2025-12-07 16:46:13.689,-0.000192,-0.000192,-0.083772,0.016938,0.000000,3.141593,0.000000,0.000000,False,False
2025-12-07 16:46:13.820,-0.000575,-0.000192,0.055390,-0.027008,0.125547,3.267295,0.000000,0.000000,False,False
2025-12-07 16:46:13.830,-0.000575,-0.000575,0.001373,-0.039826,0.206251,3.378267,0.000000,0.000000,False,False
2025-12-07 16:46:13.933,-0.000192,-0.000192,-0.001373,-0.001373,0.262202,3.478825,0.000000,0.000000,False,False
2025-12-07 16:46:13.946,-0.000192,-0.000192,-0.003204,0.020600,0.304873,3.574044,0.000000,0.000000,False,False
2025-12-07 16:46:14.055,-0.000575,-0.000192,-0.000458,0.004120,0.340598,3.668464,0.000000,0.000000,False,False
2025-12-07 16:46:14.065,-0.000575,-0.000192,0.003204,0.003204,0.373148,3.765819,0.000000,0.000000,False,False
2025-12-07 16:46:14.171,-0.000575,-0.000575,0.060883,-0.029755,0.404769,3.868976,0.000000,0.000000,False,False
2025-12-07 16:46:14.185,-0.000575,-0.000192,-0.036164,-0.004120,0.436956,3.979543,0.000000,0.000000,False,False
2025-12-07 16:46:14.282,-0.000575,-0.000575,-0.048981,0.030671,0.470802,4.098078,0.000000,0.000000,False,False
2025-12-07 16:46:14.296,-0.000575,-0.000575,0.037079,-0.082856,0.507186,4.223407,0.000000,0.000000,False,False
2025-12-07 16:46:14.391,-0.000575,-0.000575,0.030671,-0.017853,0.546877,4.352828,0.000000,0.000000,False,False
2025-12-07 16:46:14.405,-0.000575,-0.000192,-0.050813,0.032502,0.590594,4.482714,0.000000,0.000000,False,False
2025-12-07 16:46:14.501,-0.000575,-0.000575,-0.036164,-0.002289,0.639032,4.610202,0.000000,0.000000,False,False
2025-12-07 16:46:14.514,-0.000192,-0.000192,-0.020600,0.092927,0.692934,4.734626,0.000000,0.000000,False,False
2025-12-07 16:46:14.608,-0.000575,-0.000192,-0.003204,0.033417,0.752832,4.858123,0.000000,0.000000,False,False
2025-12-07 16:46:14.622,-0.000192,-0.000575,-0.017853,0.024262,0.819466,4.984992,0.000000,0.000000,False,False
2025-12-07 16:46:14.730,-0.000192,-0.000575,0.008698,0.058137,0.893310,5.121219,0.000000,0.000000,False,False
2025-12-07 16:46:14.744,-0.000192,-0.000192,0.078279,0.098421,0.974749,5.274343,0.000000,0.000000,False,False
2025-12-07 16:46:14.846,-0.000192,-0.000192,-0.056306,-0.013275,1.063902,5.452446,0.000000,0.000000,False,False
2025-12-07 16:46:14.856,-0.000192,-0.000192,-0.032502,-0.016022,1.160435,5.659338,0.000000,0.000000,False,False
2025-12-07 16:46:14.950,-0.000192,-0.000575,0.026093,0.004120,1.263339,5.882781,0.000000,0.000000,False,False
2025-12-07 16:46:14.964,-0.000192,-0.000192,-0.048981,0.039826,1.370798,6.089732,0.000000,0.000000,False,False
2025-12-07 16:46:15.071,-0.000192,-0.000192,-0.068208,0.019684,1.480362,6.252186,0.000000,0.000000,False,False
2025-12-07 16:46:15.084,-0.000192,-0.000575,0.005951,0.027924,1.589532,0.085538,0.000000,0.000000,False,False
2025-12-07 16:46:15.192,0.000192,-0.000192,0.031586,0.066377,1.696468,0.168547,0.000000,0.000000,False,False
2025-12-07 16:46:15.205,-0.000192,-0.000575,-0.038911,-0.017853,1.800360,0.230089,0.000000,0.000000,False,False
2025-12-07 16:46:15.309,-0.000192,-0.000192,-0.022431,0.049897,1.901300,0.279034,0.000000,0.000000,False,False
2025-12-07 16:46:15.326,-0.000192,-0.000575,-0.039826,-0.074617,1.999948,0.320815,0.000000,0.000000,False,False
2025-12-07 16:46:15.440,-0.000192,-0.000575,-0.037995,0.005035,2.097219,0.359125,0.000000,0.000000,False,False
2025-12-07 16:46:15.450,-0.000192,-0.000192,0.090181,0.045319,2.194083,0.396430,0.000000,0.000000,False,False
2025-12-07 16:46:15.547,-0.000575,-0.000192,0.016022,-0.024262,2.291456,0.434337,0.000000,0.000000,False,False
2025-12-07 16:46:15.560,-0.000192,-0.000575,-0.024262,-0.035248,2.389848,0.474069,0.000000,0.000000,False,False
2025-12-07 16:46:15.653,-0.000192,-0.000575,-0.038911,0.013275,2.489473,0.516758,0.000000,0.000000,False,False
