timestamp,left_angle,right_angle,left_velocity,right_velocity,phase_left,phase_right,assist_left,assist_right,motion_detected,assist_enabled
2025-12-07 17:33:58.582,-0.000192,-0.007862,-0.015106,-0.029755,0.000000,3.141593,0.000000,0.000000,False,False
2025-12-07 17:33:58.589,-0.012080,0.037391,0.016938,-0.035248,0.000000,3.141593,0.000000,0.000000,False,False
2025-12-07 17:33:58.640,-0.011313,0.037391,0.032502,0.027008,0.123365,3.259658,0.000000,0.000000,False,False
2025-12-07 17:33:58.652,-0.012080,0.037391,-0.031586,-0.051728,0.202523,3.363919,0.000000,0.000000,False,False
2025-12-07 17:33:58.696,-0.011697,0.037391,0.013275,-0.002289,0.257354,3.458463,0.000000,0.000000,False,False
2025-12-07 17:33:58.708,-0.012847,0.037391,0.060883,0.026093,0.298854,3.547828,0.000000,0.000000,False,False
2025-12-07 17:33:58.757,-0.012464,0.037391,-0.004120,0.047150,0.333673,3.636192,0.000000,0.000000,False,False
2025-12-07 17:33:58.770,-0.012847,0.037391,-0.014191,-0.047150,0.365225,3.727074,0.000000,0.000000,False,False
2025-12-07 17:33:58.816,-0.012847,0.037391,0.013275,0.065461,0.395804,3.823231,0.000000,0.000000,False,False
2025-12-07 17:33:58.828,-0.014381,0.037775,0.011444,0.048981,0.426575,3.926501,0.000000,0.000000,False,False
2025-12-07 17:33:58.875,-0.014765,0.037775,-0.090181,0.024262,0.458865,4.037807,0.000000,0.000000,False,False
2025-12-07 17:33:58.888,-0.017449,0.037775,-0.212863,0.001373,0.493089,4.156723,0.000000,0.000000,False,False
2025-12-07 17:33:58.938,-0.017833,0.038158,-0.090181,0.027924,0.530455,4.281333,0.000000,0.000000,False,False
2025-12-07 17:33:58.951,-0.018216,0.037775,-0.109407,-0.076448,0.571613,4.408648,0.000000,0.000000,False,False
2025-12-07 17:33:58.999,-0.018600,0.037775,-0.089265,-0.038911,0.617200,4.535369,0.000000,0.000000,False,False
2025-12-07 17:33:59.012,-0.019750,0.037775,0.017853,0.028840,0.667720,4.659620,0.000000,0.000000,False,False
2025-12-07 17:33:59.055,-0.020134,0.037775,-0.080110,-0.006867,0.723928,4.781985,0.000000,0.000000,False,False
2025-12-07 17:33:59.068,-0.020517,0.038158,-0.045319,-0.056306,0.786409,4.905476,0.000000,0.000000,False,False
2025-12-07 17:33:59.110,-0.020517,0.038158,0.033417,-0.043488,0.855743,5.034992,0.000000,0.000000,False,False
2025-12-07 17:33:59.123,-0.020134,0.038158,-0.077363,0.021515,0.932396,5.177082,0.000000,0.000000,False,False
2025-12-07 17:33:59.171,-0.020134,0.038542,0.092012,0.077363,1.016542,5.339799,0.000000,0.000000,False,False
2025-12-07 17:33:59.178,-0.020134,0.038925,0.077363,0.087434,1.108094,5.530667,0.000000,0.000000,False,False
2025-12-07 17:33:59.221,-0.020134,0.038925,-0.020600,-0.005035,1.206454,5.748878,0.000000,0.000000,False,False
2025-12-07 17:33:59.234,-0.020517,0.038925,-0.037995,0.031586,1.310303,5.972678,0.000000,0.000000,False,False
2025-12-07 17:33:59.277,-0.020517,0.038925,0.104829,0.001373,1.417670,6.165818,0.000000,0.000000,False,False
2025-12-07 17:33:59.290,-0.019750,0.038542,-0.015106,0.044404,1.526181,0.027382,0.000000,0.000000,False,False
